Jun  8 17:45:41 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 0.348665814, Service: 1, Service Name: Capture Frame, Request: 1, DONE, Request Elapsed Time: 0.014986685
Jun  8 17:45:42 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 0.679480388, Service: 1, Service Name: Capture Frame, Request: 2, DONE, Request Elapsed Time: 0.012457278
Jun  8 17:45:42 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 1.012860758, Service: 1, Service Name: Capture Frame, Request: 3, DONE, Request Elapsed Time: 0.012507537
Jun  8 17:45:42 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 1.344464906, Service: 1, Service Name: Capture Frame, Request: 4, DONE, Request Elapsed Time: 0.010809407
Jun  8 17:45:43 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 1.672385258, Service: 1, Service Name: Capture Frame, Request: 5, DONE, Request Elapsed Time: 0.005511500
Jun  8 17:45:43 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 2.005617332, Service: 1, Service Name: Capture Frame, Request: 6, DONE, Request Elapsed Time: 0.005423408
Jun  8 17:45:43 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 2.342870887, Service: 1, Service Name: Capture Frame, Request: 7, DONE, Request Elapsed Time: 0.009329685
Jun  8 17:45:44 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 2.678378257, Service: 1, Service Name: Capture Frame, Request: 8, DONE, Request Elapsed Time: 0.011337111
Jun  8 17:45:44 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 3.012965905, Service: 1, Service Name: Capture Frame, Request: 9, DONE, Request Elapsed Time: 0.012529388
Jun  8 17:45:44 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 3.346293831, Service: 1, Service Name: Capture Frame, Request: 10, DONE, Request Elapsed Time: 0.012565148
Jun  8 17:45:45 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 3.684448516, Service: 1, Service Name: Capture Frame, Request: 11, DONE, Request Elapsed Time: 0.017394222
