Jun  8 17:45:41 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 0.362535907, Service: 2, Service Name: Difference Frame, Request: 1, DONE, Request Elapsed Time: 0.013675963
Jun  8 17:45:42 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 0.693641129, Service: 2, Service Name: Difference Frame, Request: 2, DONE, Request Elapsed Time: 0.013905241
Jun  8 17:45:42 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 1.026948629, Service: 2, Service Name: Difference Frame, Request: 3, DONE, Request Elapsed Time: 0.013870555
Jun  8 17:45:42 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 1.356600295, Service: 2, Service Name: Difference Frame, Request: 4, DONE, Request Elapsed Time: 0.011949796
Jun  8 17:45:43 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 1.678636554, Service: 2, Service Name: Difference Frame, Request: 5, DONE, Request Elapsed Time: 0.006136593
Jun  8 17:45:43 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 2.011642758, Service: 2, Service Name: Difference Frame, Request: 6, DONE, Request Elapsed Time: 0.005907908
Jun  8 17:45:43 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 2.354851443, Service: 2, Service Name: Difference Frame, Request: 7, DONE, Request Elapsed Time: 0.011792093
Jun  8 17:45:44 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 2.690898128, Service: 2, Service Name: Difference Frame, Request: 8, DONE, Request Elapsed Time: 0.012329463
Jun  8 17:45:44 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 3.026758368, Service: 2, Service Name: Difference Frame, Request: 9, DONE, Request Elapsed Time: 0.013594352
Jun  8 17:45:44 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 3.360389331, Service: 2, Service Name: Difference Frame, Request: 10, DONE, Request Elapsed Time: 0.013883556
Jun  8 17:45:45 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 3.696653257, Service: 2, Service Name: Difference Frame, Request: 11, DONE, Request Elapsed Time: 0.011992741
Jun  8 17:45:45 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 4.025995442, Service: 2, Service Name: Difference Frame, Request: 12, DONE, Request Elapsed Time: 0.010333463
Jun  8 17:45:45 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 4.352560867, Service: 2, Service Name: Difference Frame, Request: 13, DONE, Request Elapsed Time: 0.007619333
Jun  8 17:45:46 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 4.679890127, Service: 2, Service Name: Difference Frame, Request: 14, DONE, Request Elapsed Time: 0.005334204
Jun  8 17:45:46 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 5.012783274, Service: 2, Service Name: Difference Frame, Request: 15, DONE, Request Elapsed Time: 0.005064667
