Jun  8 17:45:41 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 0.362718944, Service: 3, Service Name: Select Frame, Request: 1, DONE, Request Elapsed Time: 0.000059408
Jun  8 17:45:42 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 0.693840481, Service: 3, Service Name: Select Frame, Request: 2, DONE, Request Elapsed Time: 0.000065500
Jun  8 17:45:42 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 1.027154425, Service: 3, Service Name: Select Frame, Request: 3, DONE, Request Elapsed Time: 0.000070426
Jun  8 17:45:42 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 1.356774499, Service: 3, Service Name: Select Frame, Request: 4, DONE, Request Elapsed Time: 0.000057296
Jun  8 17:45:43 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 1.678801295, Service: 3, Service Name: Select Frame, Request: 5, DONE, Request Elapsed Time: 0.000059648
Jun  8 17:45:43 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 2.011747869, Service: 3, Service Name: Select Frame, Request: 6, DONE, Request Elapsed Time: 0.000042982
Jun  8 17:45:43 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 2.355064720, Service: 3, Service Name: Select Frame, Request: 7, DONE, Request Elapsed Time: 0.000094944
Jun  8 17:45:44 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 2.691100461, Service: 3, Service Name: Select Frame, Request: 8, DONE, Request Elapsed Time: 0.000088241
Jun  8 17:45:44 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 3.026951424, Service: 3, Service Name: Select Frame, Request: 9, DONE, Request Elapsed Time: 0.000065445
Jun  8 17:45:44 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 3.360637961, Service: 3, Service Name: Select Frame, Request: 10, DONE, Request Elapsed Time: 0.000113333
Jun  8 17:45:45 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 3.696896590, Service: 3, Service Name: Select Frame, Request: 11, DONE, Request Elapsed Time: 0.000104574
Jun  8 17:45:45 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 4.026172516, Service: 3, Service Name: Select Frame, Request: 12, DONE, Request Elapsed Time: 0.000058814
Jun  8 17:45:45 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 4.352724145, Service: 3, Service Name: Select Frame, Request: 13, DONE, Request Elapsed Time: 0.000073352
Jun  8 17:45:46 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 4.679988867, Service: 3, Service Name: Select Frame, Request: 14, DONE, Request Elapsed Time: 0.000041722
Jun  8 17:45:46 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 5.012871163, Service: 3, Service Name: Select Frame, Request: 15, DONE, Request Elapsed Time: 0.000026518
Jun  8 17:45:46 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 5.363826515, Service: 3, Service Name: Select Frame, Request: 16, DONE, Request Elapsed Time: 0.000107666
Jun  8 17:45:47 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 5.697375441, Service: 3, Service Name: Select Frame, Request: 17, DONE, Request Elapsed Time: 0.000107815
Jun  8 17:45:47 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 6.030401237, Service: 3, Service Name: Select Frame, Request: 18, DONE, Request Elapsed Time: 0.000063500
Jun  8 17:45:47 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 6.363817737, Service: 3, Service Name: Select Frame, Request: 19, DONE, Request Elapsed Time: 0.000064092
Jun  8 17:45:48 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 6.687765885, Service: 3, Service Name: Select Frame, Request: 20, DONE, Request Elapsed Time: 0.000048426
Jun  8 17:45:48 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 7.013102199, Service: 3, Service Name: Select Frame, Request: 21, DONE, Request Elapsed Time: 0.000026944
Jun  8 17:45:48 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 7.346245773, Service: 3, Service Name: Select Frame, Request: 22, DONE, Request Elapsed Time: 0.000045000
Jun  8 17:45:49 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 7.698091532, Service: 3, Service Name: Select Frame, Request: 23, DONE, Request Elapsed Time: 0.000063296
Jun  8 17:45:49 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 8.029640439, Service: 3, Service Name: Select Frame, Request: 24, DONE, Request Elapsed Time: 0.000064519
Jun  8 17:45:49 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 8.363467458, Service: 3, Service Name: Select Frame, Request: 25, DONE, Request Elapsed Time: 0.000115037
Jun  8 17:45:50 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 8.693639457, Service: 3, Service Name: Select Frame, Request: 26, DONE, Request Elapsed Time: 0.000093574
Jun  8 17:45:50 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 9.026202568, Service: 3, Service Name: Select Frame, Request: 27, DONE, Request Elapsed Time: 0.000056926
Jun  8 17:45:50 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 9.363709290, Service: 3, Service Name: Select Frame, Request: 28, DONE, Request Elapsed Time: 0.000118667
Jun  8 17:45:51 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 9.680812457, Service: 3, Service Name: Select Frame, Request: 29, DONE, Request Elapsed Time: 0.000048889
Jun  8 17:45:51 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 10.013184938, Service: 3, Service Name: Select Frame, Request: 30, DONE, Request Elapsed Time: 0.000029444
Jun  8 17:45:51 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 10.346439068, Service: 3, Service Name: Select Frame, Request: 31, DONE, Request Elapsed Time: 0.000048722
Jun  8 17:45:52 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 10.680024012, Service: 3, Service Name: Select Frame, Request: 32, DONE, Request Elapsed Time: 0.000044019
Jun  8 17:45:52 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 11.012986438, Service: 3, Service Name: Select Frame, Request: 33, DONE, Request Elapsed Time: 0.000028352
Jun  8 17:45:52 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 11.359382289, Service: 3, Service Name: Select Frame, Request: 34, DONE, Request Elapsed Time: 0.000099129
Jun  8 17:45:53 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 11.680084178, Service: 3, Service Name: Select Frame, Request: 35, DONE, Request Elapsed Time: 0.000044019
Jun  8 17:45:53 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 12.012997344, Service: 3, Service Name: Select Frame, Request: 36, DONE, Request Elapsed Time: 0.000028629
Jun  8 17:45:53 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 12.359600807, Service: 3, Service Name: Select Frame, Request: 37, DONE, Request Elapsed Time: 0.000102185
Jun  8 17:45:54 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 12.697561862, Service: 3, Service Name: Select Frame, Request: 38, DONE, Request Elapsed Time: 0.000111352
Jun  8 17:45:54 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 13.030660233, Service: 3, Service Name: Select Frame, Request: 39, DONE, Request Elapsed Time: 0.000077907
Jun  8 17:45:54 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 13.362605214, Service: 3, Service Name: Select Frame, Request: 40, DONE, Request Elapsed Time: 0.000099518
Jun  8 17:45:55 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 13.693346121, Service: 3, Service Name: Select Frame, Request: 41, DONE, Request Elapsed Time: 0.000094223
Jun  8 17:45:55 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 14.030166028, Service: 3, Service Name: Select Frame, Request: 42, DONE, Request Elapsed Time: 0.000068889
Jun  8 17:45:55 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 14.363699602, Service: 3, Service Name: Select Frame, Request: 43, DONE, Request Elapsed Time: 0.000112704
Jun  8 17:45:56 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 14.698714398, Service: 3, Service Name: Select Frame, Request: 44, DONE, Request Elapsed Time: 0.000110889
Jun  8 17:45:56 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 15.013166028, Service: 3, Service Name: Select Frame, Request: 45, DONE, Request Elapsed Time: 0.000028352
Jun  8 17:45:56 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 15.346410565, Service: 3, Service Name: Select Frame, Request: 46, DONE, Request Elapsed Time: 0.000047463
Jun  8 17:45:57 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 3, Elapsed: 15.696882046, Service: 3, Service Name: Select Frame, Request: 47, DONE, Request Elapsed Time: 0.000110518
