Jun  8 17:45:41 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 4, Elapsed: 0.362883740, Service: 4, Service Name: Write Frame, Request: 1, DONE, Request Elapsed Time: 0.000063778
Jun  8 17:45:42 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 4, Elapsed: 1.356897406, Service: 4, Service Name: Write Frame, Request: 2, DONE, Request Elapsed Time: 0.000024111
Jun  8 17:45:43 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 4, Elapsed: 2.362721035, Service: 4, Service Name: Write Frame, Request: 3, DONE, Request Elapsed Time: 0.007559056
Jun  8 17:45:44 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 4, Elapsed: 3.364530350, Service: 4, Service Name: Write Frame, Request: 4, DONE, Request Elapsed Time: 0.003770815
Jun  8 17:45:45 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 4, Elapsed: 4.355259849, Service: 4, Service Name: Write Frame, Request: 5, DONE, Request Elapsed Time: 0.002432944
Jun  8 17:45:46 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 4, Elapsed: 5.368077441, Service: 4, Service Name: Write Frame, Request: 6, DONE, Request Elapsed Time: 0.004132352
Jun  8 17:45:47 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 4, Elapsed: 6.363964922, Service: 4, Service Name: Write Frame, Request: 7, DONE, Request Elapsed Time: 0.000029297
Jun  8 17:45:48 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 4, Elapsed: 7.347908218, Service: 4, Service Name: Write Frame, Request: 8, DONE, Request Elapsed Time: 0.001613796
Jun  8 17:45:49 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 4, Elapsed: 8.367330217, Service: 4, Service Name: Write Frame, Request: 9, DONE, Request Elapsed Time: 0.003751222
Jun  8 17:45:50 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 4, Elapsed: 9.367946679, Service: 4, Service Name: Write Frame, Request: 10, DONE, Request Elapsed Time: 0.004113074
Jun  8 17:45:51 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 4, Elapsed: 10.348157382, Service: 4, Service Name: Write Frame, Request: 11, DONE, Request Elapsed Time: 0.001663574
Jun  8 17:45:52 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 4, Elapsed: 11.362896697, Service: 4, Service Name: Write Frame, Request: 12, DONE, Request Elapsed Time: 0.003412556
Jun  8 17:45:53 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 4, Elapsed: 12.362994474, Service: 4, Service Name: Write Frame, Request: 13, DONE, Request Elapsed Time: 0.003285463
Jun  8 17:45:54 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 4, Elapsed: 13.366368955, Service: 4, Service Name: Write Frame, Request: 14, DONE, Request Elapsed Time: 0.003657333
Jun  8 17:45:55 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 4, Elapsed: 14.367546584, Service: 4, Service Name: Write Frame, Request: 15, DONE, Request Elapsed Time: 0.003730315
Jun  8 17:45:56 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 4, Elapsed: 15.348064842, Service: 4, Service Name: Write Frame, Request: 16, DONE, Request Elapsed Time: 0.001602926
Jun  8 17:45:57 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 4, Elapsed: 16.367298953, Service: 4, Service Name: Write Frame, Request: 17, DONE, Request Elapsed Time: 0.007861649
Jun  8 17:45:58 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 4, Elapsed: 17.348617008, Service: 4, Service Name: Write Frame, Request: 18, DONE, Request Elapsed Time: 0.001896611
Jun  8 17:45:59 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 4, Elapsed: 18.368137692, Service: 4, Service Name: Write Frame, Request: 19, DONE, Request Elapsed Time: 0.004098222
Jun  8 17:46:00 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 4, Elapsed: 19.368593470, Service: 4, Service Name: Write Frame, Request: 20, DONE, Request Elapsed Time: 0.004413259
